participant,channels                                                                       ,n_channels,channel_acc
11         ,"[12, 1, 28, 9, 8, 30, 11, 29, 0, 13, 15, 10, 23, 25, 4, 2, 3, 22, 31, 26]"    ,20        ,"[0.4906614823869727, 0.9334837480516982, 0.3419205111101228, 0.2686391584839794, 0.35899894814816213, 0.16147700986251187, 0.0840850021045865, 0.0005463698892652524, 0.7109344864749176, 0.7454804485783361, 0.4212722258828231, 0.5958208229922952, 0.9811120585847459, 0.4403561615098976, 0.05303302932014298, 0.42255043018212324, 0.022019915445988553, 0.11817456704017046, 0.03350741601414997, 0.1496407616412965, 0.11425210823607443, 0.0, 0.2624602952847086, 0.3727951925543978, 0.18905470826731616, 0.36849854915712504, 0.2504540377928679, 0.1745035069113351, 0.8219015204506686, 0.5871224299923047, 0.6481681371216187, 0.2579044582450744]"
12         ,"[21, 20, 23, 17, 13, 9, 14, 10, 6, 25, 24, 1, 18, 31, 11, 28, 15, 19, 29, 7]" ,20        ,"[0.22771087961937675, 0.4467393430492404, 0.22254020419689918, 0.10666941120921639, 0.22304438697357312, 0.06470737781143672, 0.4892715305704335, 0.2693614069949986, 0.22556709832378796, 0.7348634781668718, 0.4949372923170361, 0.4260378559307537, 0.057499558602822076, 0.7494448012917089, 0.5024481679468451, 0.3299997734867376, 0.0, 0.8473241466547017, 0.44557168855532603, 0.2920504059676401, 1.0, 1.0, 0.03173422660605707, 0.8994938361380933, 0.4777282485400658, 0.48686620264080804, 0.1938746367849006, 0.0, 0.3523707821020421, 0.28506103630929075, 0.10442342826549449, 0.42811193103580614]"
13         ,"[4, 15, 6, 29, 27, 24, 11, 16, 26, 18, 10, 28, 13, 3, 2, 8, 5, 20, 25, 22]"   ,20        ,"[0.27914928210159473, 0.03129239486484206, 0.45530310572124333, 0.45769540465557956, 1.0, 0.3942596194767858, 0.9193823790584799, 0.1466733157186856, 0.4463979291735756, 0.2989741437226228, 0.4931186654340711, 0.8629162268487462, 0.14878818620762976, 0.4741985910777256, 0.20881572097299894, 0.9845727091054592, 0.6920533934260844, 0.0, 0.5408490628365377, 0.2584260744026061, 0.3827757888155066, 0.306972631205872, 0.32525044844832013, 0.0005175540437374262, 0.8742633863824256, 0.36938917956300793, 0.6468020795369518, 0.8793408797622242, 0.48397376438335227, 0.9005182758327933, 0.17998235745979818, 0.0]"
14         ,"[28, 17, 24, 6, 1, 10, 22, 31, 3, 11, 27, 18, 14, 21, 12, 25, 9, 30, 29, 26]" ,20        ,"[0.1792002737117064, 0.8344305633540612, 0.17999446069738467, 0.5751526616687198, 0.14350669529014912, 0.16277683472193277, 0.9160677101154389, 0.31878760447201343, 0.0, 0.4407528798891231, 0.7847430445744913, 0.4972879311986697, 0.4553590732254702, 0.34309056483696765, 0.4618385138399863, 0.21466507885859826, 0.11024623489274571, 0.9306988510416916, 0.47049860510575464, 0.0, 0.36897407151589573, 0.45936145143610096, 0.6385221749027815, 0.0, 0.9301917001711404, 0.45344622810917656, 0.40476253420701586, 0.4872615904831208, 0.9856596930380771, 0.4107105188130233, 0.41421706203137004, 0.6333460440362411]"
15         ,"[28, 24, 17, 6, 1, 10, 31, 22, 3, 11, 27, 14, 18, 21, 25, 12, 9, 30, 29, 26]" ,20        ,"[0.1955826808437543, 0.8436708661004003, 0.1806379855914829, 0.5770959754328334, 0.15089407371346927, 0.16739573912093905, 0.9070050563387226, 0.325277577972201, 0.0, 0.41995045232990746, 0.7833266591373714, 0.48709692037286645, 0.4533438798474446, 0.3479877398132389, 0.46844927116831686, 0.21739537658335487, 0.10745651431817399, 0.9312238425207332, 0.46798315071555385, 0.0, 0.36774825271884026, 0.4618714330697561, 0.6330814453016057, 0.0, 0.9382175466966161, 0.4543134117015532, 0.40101493514413394, 0.481070271738869, 1.0, 0.40662407671086526, 0.41042394174326324, 0.6427817471637379]"
16         ,"[10, 21, 7, 9, 8, 17, 6, 27, 28, 13, 29, 22, 30, 2, 0, 15, 26, 18, 24, 3]"    ,20        ,"[0.32630617946220164, 0.22247495748700452, 0.3323177306166237, 0.24541606118567916, 0.174384160164327, 0.0, 0.6599364672378312, 0.8560535045219617, 0.7025738457187897, 0.7720386953292171, 1.0, 0.2411867609264835, 0.05303302932014298, 0.4610774673527375, 0.14349505956414632, 0.29344261109963765, 0.03350741601414997, 0.669846517055162, 0.27010758731343987, 0.16857429069457308, 0.14214517726725054, 0.9973189792081041, 0.3564908776262875, 0.03552456669803361, 0.2504540377928679, 0.08365944279461712, 0.27287686626387014, 0.64419090726519, 0.48403833263350626, 0.3865816320292429, 0.3367492330705113, 0.23443417919340936]"
17         ,"[9, 11, 27, 14, 6, 17, 12, 28, 15, 23, 3, 16, 26, 7, 4, 19, 20, 31, 2, 25]"   ,20        ,"[0.29776839307139386, 0.3196419153780608, 0.3688067134344416, 0.4921960421703802, 0.44014008872225013, 0.1332826391738638, 0.7395364803101102, 0.45916556874826775, 0.0, 1.0, 0.0, 0.9650353433428221, 0.6360312202300793, 0.0, 0.863809321320142, 0.574988928763967, 0.4734579011371319, 0.6814929851051241, 0.30990922822607847, 0.41428730966631866, 0.4078639453412373, 0.22049908903461113, 0.10490130857216659, 0.4983967003585362, 0.2845752898813566, 0.3576399585987665, 0.4700066194420964, 0.948970284320301, 0.5948298606625466, 0.3087916458429899, 0.3242142560883318, 0.380470000612102]"
18         ,"[11, 16, 7, 3, 4, 23, 28, 26, 30, 18, 29, 2, 15, 22, 19, 31, 14, 6, 9, 8]"    ,20        ,"[0.051773252599987864, 0.0, 0.42760457974941374, 0.8862096178671618, 0.7968082232034386, 0.04963810834475243, 0.2986152238631235, 0.8976279325701494, 0.24707095338190516, 0.2682466020068152, 0.002336187120819123, 0.9595765260349202, 0.032809717795626775, 0.00026873561909825626, 0.31550034794317955, 0.42706433186721504, 0.8981835787278443, 0.06512905662643047, 0.4503922389557875, 0.3775634300687113, 0.1533004925174626, 0.02981368343481245, 0.3804927222847647, 0.7077792880311548, 0.09542993633747228, 0.20768909941883396, 0.7016968113641278, 0.0, 0.7067860113255064, 0.4386538789143692, 0.46408793026952083, 0.32897335873793127]"
19         ,"[22, 27, 25, 29, 1, 4, 12, 23, 19, 7, 20, 21, 2, 6, 8, 13, 9, 0, 26, 31]"     ,20        ,"[0.3169283970616895, 0.6890556512432884, 0.3894167720182596, 0.0532235894490135, 0.6565095948150691, 0.06719235871058929, 0.38488201160431296, 0.47532936742944126, 0.3350833241574742, 0.3192118544049035, 0.058069579427620005, 0.021825405982514732, 0.5119260296463319, 0.32551746725554725, 0.2268320554520159, 0.03452236980815959, 0.0, 0.24853553145043772, 0.032062790901537255, 0.4832561886787285, 0.4456048343402991, 0.39796546594990484, 1.0, 0.4982649789827462, 0.09687616718628789, 1.0, 0.31587055479404846, 1.0, 0.17577330580985875, 0.9212152458204849, 0.28440753084184067, 0.30618381067809763]"
20         ,"[29, 6, 14, 18, 11, 20, 5, 7, 8, 2, 27, 21, 28, 25, 12, 4, 22, 0, 30, 26]"    ,20        ,"[0.3590770309167777, 0.0, 0.5470549719405302, 0.062019921330969535, 0.36708164591021347, 0.7967323647805421, 0.9644729614053799, 0.6827471171219297, 0.6436921491324432, 0.13784805244661763, 0.05376159376617666, 0.886606182639969, 0.43166235637871203, 0.0722083401059218, 0.9466762538059779, 0.210136056362085, 0.04245062592188045, 0.0032428729272076587, 0.9098892081443335, 0.13390818383457237, 0.7989943911817753, 0.45630458127213624, 0.3613780523188255, 0.13655957938069785, 0.13786920824988452, 0.4400684459028514, 0.293907236721629, 0.46011622901364974, 0.448643509034052, 1.0, 0.3552925727130678, 0.07603024994502401]"
