participant,channels                                                                       ,n_channels,channel_acc
11         ,"[21, 6, 27, 31, 25, 4, 13, 23, 0, 30, 14, 1, 7, 8, 12, 15, 10, 18, 11, 24]"   ,20        ,"[0.4999986920619149, 0.4372973319091004, 0.18931626412434682, 0.09272478141739171, 0.6425166510498411, 0.15532795449174244, 0.7938395599936104, 0.4279159971322709, 0.4232806576064248, 0.11430433299622123, 0.28820307150066926, 0.27511696755140036, 0.4232400014711559, 0.5743175837184653, 0.4646572481929467, 0.30098786908316505, 0.059779052905783114, 0.19937627409750444, 0.28279223365140216, 0.14491396368673973, 0.0006902036335136881, 0.8501882658578844, 0.20096130596495854, 0.5550834238150194, 0.21868888952918872, 0.7127769842540296, 0.042799407582308824, 0.7428357736645215, 0.0, 0.2161335352692893, 0.4942561485858994, 0.7291354813574129]"
12         ,"[20, 15, 24, 2, 10, 17, 22, 31, 8, 29, 28, 18, 21, 26, 12, 27, 4, 1, 23, 14]" ,20        ,"[0.0715770379971351, 0.2593848383418359, 0.7185578143626452, 0.16356645755131316, 0.28946627904298305, 0.07304984418863292, 0.07433044471181727, 0.15610078696757218, 0.4431294771983264, 0.0, 0.7149673381782142, 0.20712986644101017, 0.31633880981203405, 0.16287714148204413, 0.21412202787792967, 0.8038646904301182, 0.2121178107484033, 0.6893595160602751, 0.37146208761442945, 0.050290300886493666, 1.0, 0.34004560011686913, 0.6054112124950489, 0.24441012623218072, 0.7350776054734882, 0.14527445333222375, 0.3282829043851002, 0.2999983779388585, 0.382556368261719, 0.3852903265787887, 0.14613450299880004, 0.4933704311272715]"
13         ,"[10, 20, 26, 24, 13, 18, 1, 4, 8, 30, 31, 9, 22, 27, 3, 0, 5, 29, 25, 28]"    ,20        ,"[0.33908479224520205, 0.6318320393833889, 0.012798789049702441, 0.36661997064012153, 0.6235101954061109, 0.32991465161258504, 0.11194455293147887, 0.06974422508437984, 0.45918418379419906, 0.40303688923506265, 1.0, 0.15133993521840838, 0.21340785959056696, 0.7371485401556354, 0.0, 0.0, 0.0, 0.13151611915792755, 0.690348072199168, 0.0, 0.9997052815551705, 0.12563189676408154, 0.3813627273753438, 0.024346734392525438, 0.7874336498831263, 0.28690197753642466, 0.9856078721806826, 0.37094442033144726, 0.2524386321428439, 0.3120082013542986, 0.42005909942771813, 0.4076694420992911]"
14         ,"[27, 8, 28, 7, 15, 9, 1, 17, 21, 31, 4, 29, 0, 6, 14, 11, 25, 20, 13, 12]"    ,20        ,"[0.35503758789059814, 0.580982105959418, 0.01732431745838081, 0.0, 0.3839070157988499, 0.0, 0.3414467649102275, 0.8644552922630823, 0.9552202849542668, 0.6158519670935726, 0.0, 0.3153903441256423, 0.1889516724759005, 0.2776392057171986, 0.3299233762228305, 0.6332186208796408, 0.1692110739221131, 0.44381672639797, 0.1109806714403122, 0.0, 0.28214864679684637, 0.42801731356478745, 0.07603233447846203, 0.015001508329230973, 0.0, 0.29773173276418474, 0.0, 0.9853687839863146, 0.9372644783281907, 0.3822332193922286, 0.10083514592718756, 0.4047104030010549]"
15         ,"[20, 24, 16, 23, 22, 10, 0, 7, 5, 19, 29, 15, 12, 1, 11, 6, 26, 17, 18, 28]"  ,20        ,"[0.6913234762092056, 0.48532798333600613, 0.06635202195291506, 0.06758072333221476, 0.001687367848823593, 0.5520510877843144, 0.4327531243495917, 0.6362330832194112, 0.079070710831188, 0.008127564292016087, 0.7382896726778617, 0.4765784547612489, 0.48677893059397415, 0.0, 0.0, 0.49747381377160826, 0.9647716125358061, 0.42647120840514047, 0.3872085823944039, 0.5490751572931925, 1.0, 0.1603606559316582, 0.7654985688960925, 0.872500013194241, 1.0, 0.3515893593876231, 0.43211840183036365, 0.23745509688887426, 0.36326079646977216, 0.49781469003511764, 0.1447877653867467, 0.3459122126471872]"
16         ,"[11, 3, 22, 14, 20, 25, 26, 18, 16, 10, 21, 0, 29, 28, 9, 17, 8, 2, 6, 30]"   ,20        ,"[0.41466266397702783, 0.22971829776725722, 0.3279087638778762, 0.825044877936623, 0.08411223051211783, 0.2151043021354384, 0.32300748081711766, 0.18934455161322206, 0.343226822606279, 0.39628646157194797, 0.4900390398386315, 0.9260775375698848, 0.21831148913016213, 0.0, 0.7299747256542926, 0.1898670540978945, 0.49252761482246704, 0.3785493686128073, 0.5169812564755172, 0.049840696743160925, 0.7252990145980531, 0.46856107751793513, 0.7936237766905825, 0.04878964429307627, 0.0, 0.6631500551796681, 0.6628957804523192, 0.07869706266109376, 0.396804758317927, 0.39978166910102847, 0.2552939251217274, 0.2011880451138089]"
17         ,"[23, 31, 20, 7, 1, 5, 12, 0, 17, 2, 16, 29, 3, 19, 30, 15, 27, 22, 4, 24]"    ,20        ,"[0.49313238196591314, 0.7099224262030575, 0.48731430408796217, 0.41917725663379385, 0.2742095682918093, 0.6361271131586462, 0.21610705236864727, 0.7390134276050642, 0.15810518365213624, 0.18790080702806092, 0.11412323019285064, 0.16547155983968498, 0.6126171068584051, 0.23963131149416694, 0.2508002401744419, 0.33427536822079384, 0.4457567737675034, 0.492232695126679, 0.0, 0.35367280745454627, 0.8857495950461227, 0.009626757739648675, 0.31872336914871885, 1.0, 0.26906106594856266, 0.21667288060624154, 0.21516193371594933, 0.32202988431093693, 0.20670935793266218, 0.4396586409852977, 0.34847377032535165, 0.9997850465235262]"
18         ,"[3, 26, 0, 29, 6, 23, 14, 9, 15, 22, 2, 25, 27, 13, 10, 30, 17, 28, 8, 18]"   ,20        ,"[0.99997112864386, 0.07730132841819293, 0.3992509018506262, 1.0, 0.009605135077892655, 0.13634188029340188, 0.9562003871814672, 0.051771299059458833, 0.22264635386729592, 0.4890135068923191, 0.2964340819198216, 0.006231368607042008, 0.16310304269947706, 0.30366387036122855, 0.6137675263622625, 0.44026020187228554, 0.07931656959470954, 0.2959619612834643, 0.22118741061995806, 0.005149305505289684, 0.0014092399668053257, 0.003416289232858906, 0.4051146688028784, 0.6397608003743456, 0.021325244032844776, 0.3725993914908625, 1.0, 0.32458039929369054, 0.29003283717766065, 0.999184409541037, 0.29639611966388846, 0.0007265897199702433]"
19         ,"[23, 5, 26, 22, 17, 12, 7, 0, 15, 10, 25, 1, 16, 28, 20, 11, 8, 4, 9, 27]"    ,20        ,"[0.49693212735171916, 0.416492020082252, 0.04615038830478512, 0.0711550139469498, 0.23378462717682735, 0.9092785088493642, 0.06742547435394158, 0.4987131421395564, 0.28206603868364005, 0.2295177216444974, 0.4363329050307452, 0.29693646936261336, 0.58610117031159, 0.12878282048297524, 0.012859371569181377, 0.46612900562092363, 0.3907015542882656, 0.6413051556197342, 0.08475033749399061, 0.15364102889897185, 0.34031534780335476, 0.0, 0.7964335978076903, 0.9897476797578671, 0.1822592096070299, 0.4217101031445388, 0.8542250302734523, 0.22695635807309777, 0.3681161356372327, 0.003501646380640636, 0.001754813165296501, 0.16494680445115867]"
20         ,"[20, 9, 28, 12, 24, 16, 6, 5, 23, 2, 27, 17, 30, 3, 13, 8, 10, 4, 19, 22]"    ,20        ,"[0.2959619612834643, 0.22118741061995806, 0.422960972041056, 0.39024577367693003, 0.3142940962776125, 0.5965848399870584, 0.6397608003743456, 0.19240727338397556, 0.3725993914908625, 0.9515509375796269, 0.34084028147407, 0.22324565383643802, 0.7494391959332557, 0.375732891061598, 0.11638175835879438, 0.24640299481888384, 0.7216105385307519, 0.4175784567622487, 0.21989266352955517, 0.31174563109336717, 0.9897158485091436, 0.0037713500766397567, 0.30610143662382483, 0.47816846378106925, 0.7492420203465913, 0.05761465776934949, 0.21444945819967065, 0.4219255785241004, 0.9254158734510587, 0.23087908390993506, 0.4025550776240674, 0.13200607490197358]"
