participant,channels,n_channels,channel_acc
11,"[20, 12, 22, 7, 29, 24, 5, 25, 3, 21, 31, 30, 6, 17, 26, 18, 2, 13, 8, 9]",20,"[0.17194485148597274, 0.02454985440829856, 0.19277695678243423, 0.3581973822262153, 0.021376848686523283, 0.41979213476939686, 0.27245242158336264, 0.46248473438411714, 0.18040808091435143, 0.17675922753048043, 0.13200819890538618, 0.08720481458357814, 0.4664112821274804, 0.1847971181528222, 0.1596715166217463, 0.032296751898105956, 0.018843592598841993, 0.25828818657935027, 0.22070908460679742, 0.09307384380404982, 0.9592515276093533, 0.3248000261828782, 0.4644775074851304, 0.12775714093351653, 0.42214974018965806, 0.4019969701150301, 0.23272231786648592, 0.07929339659132784, 0.019964761296418426, 0.45957855247340795, 0.3090478175180263, 0.3242295507092547]"
12,"[8, 21, 22, 23, 0, 20, 13, 2, 30, 11, 14, 19, 16, 7, 5, 12, 27, 18, 1, 31]",20,"[0.4436576163134484, 0.23366439485127635, 0.41926833290587395, 0.1415749642659068, 0.1473787448973391, 0.30033351967764926, 0.08522942799695316, 0.3018861472031367, 0.978874933064113, 0.2050613782625266, 0.15037517039673967, 0.3909689453704914, 0.29319710203147664, 0.4321235192032013, 0.3871370971118913, 0.11296984866186521, 0.3735827286485009, 0.17542296188815998, 0.23526971809675243, 0.38205932292274314, 0.4378848824602901, 0.49029004443244845, 0.48982166785705045, 0.4689650507580347, 0.03951488678280211, 0.09338952784801957, 0.12433822151639991, 0.23747900406552383, 0.08066784636512668, 0.11290618746690802, 0.3997283550027475, 0.22558343265540806]"
13,"[9, 14, 29, 22, 4, 21, 17, 23, 16, 30, 8, 19, 2, 3, 27, 25, 1, 31, 20, 7]",20,"[0.18697448597547792, 0.2684964996110783, 0.41697581848996895, 0.40359794134540977, 0.546178666628253, 0.11582850785178334, 0.12121710571707162, 0.24420009572134482, 0.4342743038374441, 0.8135526779054154, 0.2278206805655402, 0.09790192189168796, 0.05827951868695331, 0.1044727790614161, 0.7486391005827612, 0.1512588762463808, 0.4522436306570941, 0.4591820188000721, 0.17118749538240005, 0.41923969891986457, 0.25095843900985204, 0.5155769587356724, 0.6955467719418222, 0.4547161836997431, 0.15236042341248754, 0.272811344807199, 0.059947536512935384, 0.29889596801370294, 0.1266930486455533, 0.7044593944592826, 0.4501526141903576, 0.2544797048314464]"
14,"[6, 23, 8, 25, 20, 13, 27, 12, 15, 0, 9, 31, 21, 18, 4, 1, 5, 14, 29, 7]",20,"[0.38244810786565014, 0.3371854435433166, 0.23275777946421458, 0.08073347988728445, 0.3387476246045502, 0.3298006728312244, 0.9724815239822858, 0.29357333343803677, 0.5277645215935464, 0.3822954166266499, 0.1322774634689875, 0.14077376243735973, 0.3946399723520983, 0.49614781380705714, 0.31376837021703946, 0.39446342455570754, 0.20524093255411938, 0.00880191983373918, 0.3388429372652282, 0.2738974542270047, 0.5154239465647016, 0.3517316299563487, 0.1273816006518477, 0.5336218921071, 0.2379245934024695, 0.5216985873962757, 0.10788633349973802, 0.43547168484793036, 0.11380283913821798, 0.2976471103319714, 0.1424917988821713, 0.36421033734565583]"
15,"[9, 19, 26, 2, 4, 29, 13, 11, 21, 1, 30, 27, 23, 0, 31, 6, 18, 7, 20, 14]",20,"[0.27280873068052297, 0.33536719082515964, 0.49439931147094934, 0.04023019193696264, 0.47567463566811136, 0.11477396403886984, 0.2583644878245704, 0.17643473909575258, 0.13247272216994027, 1.0, 0.07315728577032542, 0.3721525954049035, 0.15762544497725212, 0.42185502241896483, 0.15787582588637514, 0.0, 0.09190386886263933, 0.03895924266893328, 0.2386634007745211, 0.7707163846197242, 0.17318930651476805, 0.3648238363658322, 0.0, 0.2728376496127755, 0.15773722501757323, 0.14202767271858044, 0.6681599560305368, 0.274293302345171, 0.02667500308928719, 0.4379540453293021, 0.3123597762005433, 0.261758071077686]"
16,"[24, 15, 9, 30, 23, 19, 7, 27, 31, 0, 3, 26, 13, 20, 29, 8, 25, 16, 1, 2]",20,"[0.3572305526842379, 0.26130036084446145, 0.2588777284983188, 0.3466899204323095, 0.16431747515187758, 0.06214980815678959, 0.22058099058358657, 0.4125852160340866, 0.3283860972982962, 0.5167161136624554, 0.04246936474566776, 0.1817102369268877, 0.13579128642122254, 0.33286343241487637, 0.2524368803386546, 0.5214214527241068, 0.3056458411172626, 0.23708879217371628, 0.23380985851540792, 0.42097895168854843, 0.3289284216425236, 0.20179034285425343, 0.17157307384917098, 0.4845277515228257, 0.9532329041170747, 0.3236483325658673, 0.3413519277254684, 0.39385954126841843, 0.11135950991624666, 0.32873341746824686, 0.49057114929220486, 0.3722332618246523]"
17,"[12, 14, 30, 15, 18, 13, 1, 8, 11, 9, 6, 16, 7, 31, 17, 21, 2, 28, 19, 0]",20,"[0.22127999056774206, 0.43602623321493433, 0.23499183389035996, 0.0897475835388351, 0.21537201105097728, 0.0898483342684278, 0.34992147206033514, 0.2862719283423893, 0.40798492340557546, 0.35206217123940436, 0.21266719413383214, 0.38081791711186685, 0.97771480586597, 0.46126978315759576, 0.8739675109037656, 0.5877523662404264, 0.31014054410620656, 0.26997076669999204, 0.4648333926910985, 0.22571660904286828, 0.21114515687206958, 0.2486791234845639, 0.059675991323124546, 0.12996291917170077, 0.17809846087184603, 0.13618109410160434, 0.13107911130935726, 0.0907414291704813, 0.23375505788627063, 0.05584360462855379, 0.6886170934368684, 0.271727648877653]"
18,"[26, 24, 19, 28, 20, 7, 18, 25, 8, 11, 16, 2, 15, 1, 5, 6, 31, 30, 23, 10]",20,"[0.11439038913401768, 0.30177967748098, 0.3511721807370572, 0.1772059003975244, 0.14994148318104447, 0.28574601978061326, 0.27467662911695706, 0.4794185545854992, 0.41424714542602165, 0.014986370908409452, 0.1994261851269775, 0.4084591693126743, 0.1599232953211446, 0.18331767099590868, 0.1831252280115724, 0.3363416967558381, 0.3817804301052617, 0.06906673154040142, 0.45327313225036, 0.7666090952565258, 0.543987237936106, 0.1305647066626148, 0.0, 0.24608201551607822, 0.84776661744792, 0.41482217584917036, 0.922074595797981, 0.17019366755896062, 0.5475227414608348, 0.09551882609994022, 0.2505551898841832, 0.2597734153105335]"
19,"[28, 18, 9, 22, 4, 27, 15, 13, 30, 8, 24, 21, 26, 17, 7, 14, 5, 29, 20, 0]",20,"[0.21083979773351955, 0.1637824449207322, 0.1527232822942439, 0.08088621669542145, 0.5184150663435457, 0.24020192367619161, 0.04560322773338809, 0.27346768436565366, 0.3856487503045915, 0.5702254696593231, 0.17362245384007027, 0.04833608387930663, 0.0145213779900022, 0.47789404179523526, 0.25333076857065506, 0.4914479112698042, 0.17604295402506356, 0.3115932140283843, 0.6009344890212266, 0.20487999886913152, 0.2146636333974871, 0.34102852514216603, 0.5477674720605487, 0.1885503214284122, 0.3839649684293374, 0.07408462825132843, 0.33417115552295157, 0.5097651347819584, 0.7809510248217872, 0.2298412069366801, 0.3920985659733504, 0.1310767114252214]"
20,"[1, 24, 21, 2, 31, 6, 20, 7, 15, 13, 22, 4, 10, 28, 0, 27, 11, 25, 12, 5]",20,"[0.2907995949491804, 1.0, 0.5775953626503793, 0.22230950625409773, 0.30177618511655363, 0.2690281951408527, 0.5299517050465959, 0.4103120346716331, 0.2163473257387896, 0.12752199133912448, 0.29418064138513933, 0.28422627546778956, 0.2782682413713046, 0.37053071278063365, 0.1279725950945232, 0.3768505196303728, 0.11634276869987718, 0.013424593349161296, 0.21571556971747685, 0.19173440846498788, 0.4946040923684642, 0.8138974359234892, 0.36076599063043907, 0.2683923877936098, 0.8273844295507337, 0.2841198898629415, 0.023963384962457413, 0.2882474121158268, 0.29200656887623055, 0.10946060547779568, 0.1692117487617574, 0.5335306666418606]"
