participant,channels,n_channels,channel_acc
11,"[9, 29, 28, 25, 8, 18, 27, 11, 0, 19, 17, 1, 13, 3, 30, 10, 14, 16, 15, 4]",20,"[0.4176288161299518, 0.3134858492034126, 0.0, 0.2472751598657934, 0.02415537704496945, 0.0, 0.0, 0.0, 0.5, 1.0, 0.09992940694352859, 0.45479268978572857, 0.0, 0.30324629747150866, 0.09454796811095988, 0.08288128569734121, 0.0904442408789252, 0.3593546538625133, 0.5, 0.3765918785380999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5683941153887697, 0.006964735481693287, 0.4553760184829243, 0.7834269702778176, 1.0, 0.20433231603659854, 0.0]"
12,"[31, 12, 23, 30, 4, 17, 21, 5, 20, 1, 13, 9, 18, 27, 11, 3, 6, 10, 7, 8]",20,"[0.0, 0.13949681909465017, 0.0, 0.0, 0.4556700874358435, 0.17748159688092122, 0.0, 0.0, 0.0, 0.12689103714030808, 0.0, 0.018055931274531645, 1.0, 0.1299837695263736, 0.0, 0.0, 0.0, 0.4236604382849842, 0.049061699935245395, 0.0, 0.14323659967947736, 0.30132210212753274, 0.0, 0.6765544220597547, 0.0, 0.0, 0.0, 0.029998035791205746, 0.0, 0.0, 0.4776988866157249, 1.0]"
13,"[31, 18, 29, 3, 4, 5, 28, 10, 8, 13, 23, 2, 17, 0, 25, 11, 16, 27, 20, 21]",20,"[0.3449010675102723, 0.0, 0.4307535487458475, 1.0, 1.0, 0.866470966773501, 0.045479838707981224, 0.0, 0.4988865913964472, 0.07962172779474141, 0.5, 0.29832733154997243, 0.0, 0.4985732302382512, 0.0, 0.0021273028411467054, 0.29732329306974326, 0.3730249885857281, 1.0, 0.0, 0.2073694020823011, 0.17224932922330616, 0.0, 0.4452057868571194, 0.05812186620810959, 0.31390114882701164, 0.02687070629927668, 0.27725560803042193, 0.5, 1.0, 0.0, 1.0]"
14,"[8, 10, 5, 19, 7, 0, 22, 28, 29, 13, 20, 12, 26, 27, 18, 2, 15, 23, 17, 14]",20,"[0.4460442316328853, 0.0, 0.10167036912778782, 0.0, 0.0, 0.6673312114327778, 0.0, 0.447947750500707, 1.0, 0.0, 1.0, 0.0, 0.2001537656578471, 0.2786142370431324, 0.0, 0.07477039815307315, 0.0, 0.03904156565553496, 0.12503263333661474, 0.5, 0.21897893995230797, 0.0, 0.4179628518726951, 0.06366605186695765, 0.0, 0.0, 0.18717886948048504, 0.16043006709489588, 0.38844788708252126, 0.2920131920788006, 0.0, 0.0]"
15,"[8, 17, 10, 0, 5, 7, 18, 9, 22, 25, 24, 1, 28, 14, 19, 12, 20, 23, 29, 3]",20,"[0.5, 0.31795618629074646, 0.0, 0.0, 0.0, 0.5, 0.0, 0.41624338060147537, 1.0, 0.352464528425003, 0.9845492497123987, 0.0, 0.14290618460821425, 0.0, 0.16432511356319246, 0.0, 0.0, 1.0, 0.36878205397327235, 0.15210155127600428, 0.14148468857412333, 0.0, 0.338713028300025, 0.13242712960273717, 0.3214676132514124, 0.33764337242810305, 0.0, 0.0, 0.2038462507289863, 0.0028722216975359816, 0.0, 0.0]"
16,"[23, 30, 9, 24, 1, 3, 6, 18, 31, 20, 2, 25, 16, 21, 15, 17, 10, 22, 12, 0]",20,"[0.13139950090243502, 0.5, 0.41346308931174014, 0.5, 0.0, 0.0, 0.5, 0.11215693249880976, 0.05935801485342079, 0.950855445379503, 0.1743692218308523, 0.06039869041492696, 0.1624589762957202, 0.0, 0.0, 0.19466162973622012, 0.3119620207633124, 0.17616394396673069, 0.47787578113607343, 0.0, 0.46451553994732714, 0.25358240593351145, 0.17318519036084923, 1.0, 0.9500646757697205, 0.3945724917130301, 0.0, 0.0, 0.0, 0.0, 1.0, 0.4762441784738937]"
17,"[4, 18, 8, 21, 31, 29, 12, 24, 9, 13, 16, 23, 6, 10, 27, 2, 11, 14, 5, 17]",20,"[0.0, 0.0, 0.17184070706780585, 0.0, 1.0, 0.0637144795717765, 0.3061197170885639, 0.0, 0.8150313424638428, 0.3875190908286389, 0.2059919325695814, 0.13357569454248952, 0.4888401698353342, 0.3614898450339288, 0.08411023204059875, 0.0, 0.3425874781384102, 0.05091597116854753, 0.9424557008231425, 0.0, 0.0, 0.5473900165364352, 0.0, 0.33243815433969415, 0.4663599213114261, 0.0, 0.0, 0.2051951536018335, 0.0, 0.4928971228753134, 0.0, 0.5]"
18,"[3, 29, 5, 22, 25, 14, 10, 1, 2, 20, 4, 12, 6, 7, 8, 9, 11, 31, 15, 13]",20,"[0.0, 0.12087258921321273, 0.09747350316104263, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.330219121919927, 0.0, 0.0, 0.0, 0.4307531489459797, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08223330161336723, 0.0, 0.9207286805606729, 0.0, 0.0, 0.7475871120833337, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
19,"[16, 17, 20, 21, 31, 25, 7, 22, 0, 24, 23, 15, 12, 30, 29, 19, 8, 1, 2, 3]",20,"[0.37449344703943027, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4765241048343901, 0.0, 0.0, 0.0, 0.0, 0.18896109063442346, 0.0, 0.0, 0.21318309313143563, 1.0, 1.0, 0.0, 0.0, 1.0, 0.5192321823390581, 0.4282548368525485, 0.25771420763463254, 0.35358192364924057, 0.47956006557267816, 0.0, 0.0, 0.0, 0.048557850564458216, 0.14786499482228949, 0.5]"
20,"[20, 16, 27, 23, 28, 17, 12, 7, 0, 9, 15, 25, 31, 8, 26, 1, 2, 3, 4, 5]",20,"[0.2660558119527547, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.28252669306534817, 0.033497221993706104, 0.2133260764439322, 0.0, 0.0, 0.28881293205034386, 0.0, 0.0, 0.18458431105962791, 1.0, 0.3826430849262884, 0.0, 0.0, 1.0, 0.0, 0.0, 0.8382605326828898, 0.0, 0.14241718155293598, 0.0, 0.9504845590997764, 0.5831542048511014, 0.0, 0.0, 0.05029536075724103]"
21,"[24, 6, 26, 22, 16, 30, 4, 0, 27, 9, 20, 10, 7, 19, 1, 2, 3, 29, 5, 8]",20,"[0.34609163433808765, 0.15764584187036787, 0.15252190005736313, 0.1436835190597368, 0.39357612474850157, 0.0, 1.0, 0.18258106208172503, 0.0, 0.3132667687342973, 0.18414755863838658, 0.0, 0.0, 0.0, 0.0, 0.0, 0.49381157203149695, 0.0, 0.0, 0.16965768266331857, 0.2848908137483993, 0.0, 0.9284190881225208, 0.0, 1.0, 0.0, 1.0, 0.34244727042302037, 0.0, 0.12227851549738361, 0.4664673884068116, 0.0]"
22,"[11, 29, 5, 24, 27, 23, 0, 7, 4, 31, 8, 14, 30, 10, 9, 15, 21, 18, 20, 28]",20,"[0.444406608578937, 0.0, 0.0, 0.0, 0.41104099290624196, 0.7159887990268938, 0.0, 0.4313593351311179, 0.3990790884227075, 0.14504662880966446, 0.18105229180572094, 1.0, 0.0, 0.0, 0.3382255610959084, 0.13519307237473446, 0.0, 0.0, 0.11207476900038, 0.0, 0.11204297010333868, 0.11264781887167967, 0.0, 0.4722939524993191, 0.5, 0.0, 0.0, 0.4990233938683155, 0.11150024650090007, 0.9712696343449351, 0.2203484830181685, 0.40544854863058466]"
23,"[14, 28, 26, 7, 17, 13, 24, 11, 8, 4, 29, 27, 0, 9, 31, 22, 6, 5, 12, 16]",20,"[0.18640301876907356, 0.0, 0.0, 0.04207674391309996, 0.30890286352223906, 0.06641765526379874, 0.08723710157281744, 0.8018392183894982, 0.36632593671889896, 0.130687258901465, 0.0, 0.5, 0.05731597504052838, 0.7241772471805988, 1.0, 0.0, 0.05315102664396744, 0.7952007891025981, 0.0, 0.00923506740989951, 0.0, 0.0, 0.0970130354123942, 0.0, 0.5, 0.0, 0.9008032359337108, 0.26200688035532427, 0.9093636021844123, 0.3068034550140771, 0.0, 0.12927800441313841]"
24,"[31, 17, 25, 26, 19, 23, 11, 3, 2, 9, 0, 6, 21, 1, 28, 14, 27, 4, 20, 8]",20,"[0.12473421291884423, 0.07138519078234773, 0.13916118693156537, 0.30126836547534525, 0.020728490412571743, 0.0, 0.08827096383492848, 0.0, 0.0, 0.13445296815603686, 0.0, 0.4165906147628115, 0.0, 0.0, 0.04905541692945727, 0.0, 0.0, 1.0, 0.0, 0.47846324506776217, 0.005868424338776074, 0.0867707994486252, 0.0, 0.46792622916058596, 0.0, 0.555927316830714, 0.5, 0.04618984759308872, 0.06712724363772216, 0.0, 0.0, 1.0]"
25,"[15, 24, 18, 26, 20, 8, 16, 17, 12, 10, 9, 6, 7, 5, 4, 3, 2, 1, 11, 31]",20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3051601998109429, 0.0, 0.0, 0.0, 0.04999999999999999, 0.0, 0.0, 1.0, 0.2565843941770004, 0.0535372414639432, 1.0, 0.0, 0.34842712548766575, 0.0, 0.0, 0.0, 1.0, 0.0, 0.3741566603876132, 0.0, 0.0, 0.0, 0.0, 0.0]"
26,"[5, 28, 10, 25, 16, 29, 13, 18, 20, 6, 24, 2, 1, 8, 26, 7, 19, 0, 15, 14]",20,"[0.05713973867245348, 0.2300625204608342, 0.26252110929453976, 0.0, 0.0, 1.0, 0.32880319812338904, 0.10276009092919491, 0.1278507831542263, 0.0, 1.0, 0.0, 0.0, 0.40517162866659306, 0.020854417927891056, 0.04676671405621302, 0.6627275771716117, 0.0, 0.40066058159225704, 0.07711995238900565, 0.3727131795621649, 0.0, 0.0, 0.0, 0.2635228963227053, 0.9450143223793515, 0.12231930646174433, 0.0, 1.0, 0.5, 0.0, 0.0]"
27,"[4, 6, 17, 15, 1, 26, 3, 14, 9, 23, 16, 7, 5, 21, 20, 25, 0, 28, 30, 13]",20,"[0.04675029256322849, 0.7716819414025452, 0.0, 0.5229432015792495, 1.0, 0.11935289372140845, 1.0, 0.1461773939776691, 0.0, 0.34312869812012464, 0.0, 0.0, 0.0, 0.0, 0.4967881723219523, 0.8193021711279787, 0.25906285893422154, 0.9916747213531518, 0.0, 0.0, 0.08606941689534925, 0.11320143307249034, 0.0, 0.3333179609164456, 0.0, 0.07008460062326677, 0.5811737616303287, 0.0, 0.020576124079740035, 0.0, 0.0, 0.0]"
28,"[2, 0, 6, 26, 21, 1, 10, 3, 7, 15, 28, 9, 12, 14, 23, 4, 5, 29, 19, 11]",20,"[0.8175429074414141, 0.5, 1.0, 0.471287013766175, 0.28980409737466617, 0.2839869163260178, 0.7394253508195229, 0.4394102381860619, 0.10869131808667265, 0.3870102234279786, 0.48000577315298365, 0.17126898727827095, 0.3741901534234659, 0.021611855713946526, 0.373253975322114, 0.43493648991212863, 0.0, 0.0, 0.0, 0.23371130845174698, 0.0, 0.5, 0.0, 0.32803481361952247, 0.025191007349297537, 0.016068777227760345, 0.5265504621609773, 0.0, 0.4333988612765307, 0.2459340456200394, 0.004554957952508898, 0.0784386681152635]"
29,"[0, 25, 4, 2, 21, 14, 22, 16, 19, 30, 5, 23, 17, 29, 24, 7, 18, 9, 11, 8]",20,"[1.0, 0.0, 0.7931508848602571, 0.0, 1.0, 0.3886926061465417, 0.0, 0.18812643962163011, 0.0, 0.08660110839044571, 0.0, 0.04458129960396229, 0.0, 0.0, 0.4679217363353737, 0.0, 0.4313903785933621, 0.2877523739851679, 0.12933594193845155, 0.429746353168722, 0.0, 0.648854389458522, 0.4538213318820289, 0.3179759905943399, 0.20764524850488034, 1.0, 0.0, 0.0, 0.0, 0.21121302685272123, 0.4017935596612366, 0.0]"
30,"[27, 24, 5, 12, 20, 4, 30, 23, 16, 3, 19, 28, 0, 2, 13, 31, 17, 14, 18, 21]",20,"[0.06918966598827306, 0.0, 0.03408712108615072, 0.15126164842934875, 0.6148332569777544, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.013874423055986688, 0.0, 0.0, 0.18411371786756234, 0.0, 0.0, 0.12129104255370841, 1.0, 0.0, 0.0, 0.2870455650572563, 1.0, 0.0, 0.0, 1.0, 0.10925343942683721, 0.0, 0.36022363571001215, 0.00846139298779991]"
31,"[0, 27, 7, 12, 16, 1, 22, 5, 2, 17, 30, 24, 6, 26, 8, 21, 29, 4, 10, 3]",20,"[1.0, 0.4710792075449386, 0.09517324254208526, 0.0, 0.0, 0.11612198588449932, 0.05679806378832286, 1.0, 0.039104878268297824, 0.0, 0.0, 0.0, 0.7246812939832231, 0.0, 0.0, 0.0, 0.6713205983766679, 0.09223123935902924, 0.0, 0.0, 0.0, 0.008618674188071523, 0.364458999672717, 0.0, 0.06088748731438716, 0.0, 0.04322930786415086, 1.0, 0.0, 0.0068376270107866725, 0.08995716097871867, 0.0]"
32,"[9, 8, 19, 6, 27, 31, 10, 4, 23, 13, 7, 5, 3, 2, 1, 11, 12, 15, 14, 30]",20,"[0.0, 0.0, 0.0, 0.0, 0.2418192940348184, 0.0, 0.4809361225306484, 0.0, 1.0, 1.0, 0.33689171645207183, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.616720448924447, 0.0, 0.0, 0.0, 0.07631709650338518, 0.0, 0.0, 0.0, 0.4726522415544925, 0.0, 0.0, 0.0, 0.3793135438493865]"
