participant,channels,n_channels,channel_acc
11,"[4, 28, 18, 7, 15, 20, 14, 0, 17, 5, 29, 22, 26, 3, 16, 1, 8, 13, 23, 2]",20,"[0.5, 0.04562661962331718, 0.0, 0.12159258536394499, 1.0, 0.4109803249952718, 0.0, 0.9464491594919118, 0.02960441673994496, 0.0, 0.0, 0.0, 0.0, 0.02199754236067497, 0.5, 0.9031321527200976, 0.10733146481158716, 0.41691241762063913, 1.0, 0.0, 0.5, 0.0, 0.27623758086054906, 0.0, 0.0, 0.0, 0.22445490371273868, 0.0, 1.0, 0.29164753235538454, 0.0, 0.0]"
12,"[24, 3, 6, 7, 10, 15, 31, 1, 29, 11, 21, 12, 5, 2, 9, 27, 4, 28, 8, 26]",20,"[0.0, 0.30123902839173333, 0.07606161822627261, 1.0, 0.0, 0.09379045532319194, 1.0, 1.0, 0.0, 0.018151904061593976, 1.0, 0.25121728036521074, 0.10033689446042196, 0.0, 0.0, 0.4577165147231705, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1338377360620342, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0029451683394166595, 0.0, 0.2894900735271865, 0.0, 0.3121230928455523]"
13,"[21, 14, 24, 4, 5, 11, 10, 19, 9, 17, 27, 31, 26, 22, 29, 6, 2, 3, 1, 7]",20,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.45507171509415173, 0.007153390598299891, 0.0, 0.0, 0.24661238134433672, 0.4294892656989499, 0.44899897870823413, 0.0, 0.0, 1.0, 0.0, 0.0, 0.21207745846657283, 0.0, 0.42656064745222527, 0.0, 1.0, 0.07809086817297145, 0.0, 0.5, 0.0, 0.09480487093403694, 0.17865794421841547, 0.0, 0.07500397947795456, 0.0, 0.16753203710054665]"
14,"[27, 8, 13, 24, 3, 20, 30, 16, 1, 31, 19, 28, 15, 22, 12, 18, 7, 29, 2, 26]",20,"[0.0, 0.36179865851828313, 0.0, 0.4293490154304491, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.030121553091268224, 1.0, 0.0, 0.09712021229010205, 0.3669224363952003, 0.0, 0.0, 0.32780235924364487, 0.41923062547517587, 0.0, 0.032232491677769926, 0.0, 0.920828112166772, 0.0, 0.0, 1.0, 0.26482550145340655, 0.0, 0.37067370685871814, 0.3558590810323199]"
15,"[0, 18, 22, 3, 2, 10, 14, 8, 9, 23, 7, 31, 15, 28, 19, 25, 16, 21, 13, 12]",20,"[1.0, 0.0, 0.4207748968548957, 0.7512485848094593, 0.0, 0.0, 0.0, 0.13168124092220795, 0.393667682449298, 0.3857549629768424, 0.4138619070240252, 0.0, 0.0, 0.0, 0.40482486990545796, 0.06004391421673172, 0.004048498735685774, 0.0, 1.0, 0.015347325311824311, 0.0, 0.0, 0.9370653010905517, 0.2723551817706524, 0.0, 0.00856997616677297, 0.0, 0.0, 0.05660781761011224, 0.0, 0.0, 0.10641168339568774]"
16,"[31, 16, 21, 23, 20, 6, 19, 25, 3, 4, 26, 17, 15, 8, 12, 30, 29, 11, 5, 1]",20,"[0.0, 0.1783622465762811, 0.0, 0.40255571015453673, 0.39636673073550416, 0.19554897381905756, 0.44327364638542405, 0.12055815024758954, 0.2912130672512539, 0.05493600513308286, 0.05686909238204361, 0.215144306718331, 0.2852051234863365, 0.15496842502425173, 0.0, 0.31940837763301966, 1.0, 0.3276399907837694, 0.0, 0.4192187787663697, 0.4713908777987952, 0.6574446772805911, 0.14030154870496836, 0.48080401480294294, 0.14365955752693352, 0.40331669458711017, 0.3445723737629116, 0.17634813138702543, 0.08648398124667808, 0.2395140276864731, 0.24916595848637912, 1.0]"
17,"[31, 26, 18, 28, 21, 7, 5, 1, 12, 24, 0, 20, 3, 9, 29, 2, 4, 27, 6, 25]",20,"[0.23261037435276527, 0.4152649676079687, 0.0, 0.05911760267067859, 0.0, 0.419213127136986, 0.0, 0.47761919523388696, 0.0, 0.0, 0.0, 0.0, 0.2662383582659133, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.14487922456939076, 0.5, 0.0, 0.0, 0.24091105427498255, 0.0, 1.0, 0.0, 0.926984297841325, 0.0, 0.0, 1.0]"
18,"[9, 24, 13, 30, 19, 2, 31, 22, 23, 5, 27, 11, 29, 8, 16, 26, 28, 17, 1, 4]",20,"[0.0, 0.0, 0.5, 0.0, 0.0, 0.19600320316207318, 0.0, 0.0, 0.12257235502536873, 1.0, 0.0, 0.17580791259586384, 0.0, 1.0, 0.0, 0.0, 0.11238743100448453, 0.04417203660832948, 0.0, 0.5073498965134224, 0.0, 0.0, 0.4814289153909119, 0.42965605746422203, 1.0, 0.0, 0.056167825808470614, 0.19119299885265173, 0.04999999999999999, 0.1318936176998997, 0.8220317269894049, 0.5]"
19,"[17, 20, 25, 19, 15, 23, 8, 1, 22, 6, 13, 28, 2, 18, 27, 7, 29, 9, 16, 24]",20,"[0.0545924963459023, 0.40367625511977223, 0.29436584916116815, 0.0, 0.0, 0.0, 0.3536374047142494, 0.143033089330022, 0.4728463960765681, 0.12313633213815789, 0.0, 0.0, 0.0, 0.3279742399470991, 0.0, 0.5, 0.1163443467246522, 1.0, 0.28574152960694355, 0.54346583199157, 1.0, 0.0, 0.360428721549247, 0.48229995850979124, 0.07056376794615075, 0.7844132985382036, 0.0, 0.27083001723941014, 0.2956419866791331, 0.13770340905248918, 0.0, 0.0]"
20,"[17, 20, 25, 19, 15, 23, 8, 1, 22, 6, 13, 28, 2, 18, 27, 7, 29, 9, 16, 24]",20,"[0.0545924963459023, 0.40367625511977223, 0.29436584916116815, 0.0, 0.0, 0.0, 0.3536374047142494, 0.143033089330022, 0.4728463960765681, 0.12313633213815789, 0.0, 0.0, 0.0, 0.3279742399470991, 0.0, 0.5, 0.1163443467246522, 1.0, 0.28574152960694355, 0.54346583199157, 1.0, 0.0, 0.360428721549247, 0.48229995850979124, 0.07056376794615075, 0.7844132985382036, 0.0, 0.27083001723941014, 0.2956419866791331, 0.13770340905248918, 0.0, 0.0]"
