participant,channels,n_channels,channel_acc
11,"[15, 30, 24, 9, 11, 27, 17, 29, 28, 22, 23, 18, 5, 3, 12, 0, 31, 25, 16, 14]",20,"[0.1420535932357439, 0.0, 0.0, 0.17053235318814475, 0.0, 0.20949697643848045, 0.0, 0.0, 0.0, 1.0, 0.0, 0.7729514914414928, 0.1640872468138801, 0.0, 0.0, 1.0, 0.0, 0.4421071203028786, 0.2137730804363851, 0.0, 0.0, 0.0, 0.40459987796832075, 0.29712807456766105, 1.0, 0.0019102522068052963, 0.0, 0.4631688816199513, 0.4237734903753116, 0.4406801123696995, 1.0, 0.09407361535877701]"
12,"[5, 6, 31, 18, 20, 27, 17, 29, 24, 28, 22, 15, 23, 19, 8, 1, 2, 3, 4, 26]",20,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.8866420003460316, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03898482767610363, 0.0, 0.09973688407249581, 0.8212282947851925, 0.0, 0.705524297017162, 0.0, 0.04925035421193441, 0.03885925800355733, 0.05813211337800067, 0.0, 0.0, 0.33401848340917184, 0.05428494101258982, 0.0877037699559812, 0.0, 0.8787865432980269]"
13,"[5, 13, 6, 8, 27, 25, 24, 7, 14, 31, 29, 22, 12, 11, 1, 19, 18, 3, 23, 17]",20,"[0.0, 0.336211002589039, 0.16378908423037894, 0.2601234843403771, 0.0, 1.0, 0.8281683391754298, 0.5, 0.6048625287676066, 0.1531162362675429, 0.0, 0.38717059426212996, 0.4147034869348216, 0.9397080172059697, 0.5, 0.0, 0.03275397501075066, 0.1723607642352255, 0.269862590524663, 0.29575970248778494, 0.12076441319489456, 0.0, 0.47600723114212756, 0.24293971381317014, 0.5535148089281934, 0.5735540380077935, 0.1387258795787846, 0.589216423267032, 0.0, 0.5, 0.0, 0.5]"
14,"[30, 18, 21, 17, 2, 14, 10, 5, 9, 8, 16, 22, 15, 20, 19, 29, 25, 7, 4, 3]",20,"[0.0, 0.0, 0.4946509160778031, 0.0, 0.0, 0.35660734438242814, 0.0, 0.017713431336229324, 0.3433196638643572, 0.3554011285628417, 0.37155298031740625, 0.0, 0.0, 0.0, 0.4283699755018952, 0.11138233196236769, 0.32654238641902833, 0.5326724719207665, 0.6847708983663465, 0.09781945692096966, 0.11095293318131333, 0.6341852596547964, 0.12366457112445389, 0.0, 0.0, 0.05090641505376356, 0.0, 0.0, 0.0, 0.07230965698479408, 1.0, 0.0]"
15,"[0, 1, 14, 23, 27, 19, 18, 29, 31, 6, 12, 13, 22, 9, 28, 2, 3, 4, 5, 7]",20,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.17203018858828195, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1011686103397614, 0.09696988101239679, 0.8153742085143638, 0.0, 0.0, 0.0, 0.28654429340711596, 0.38747350854214113, 0.0, 0.0, 0.0, 0.42696983310508835, 0.0, 0.0, 0.0, 0.42282923525153393, 0.0, 0.19270978627856572, 0.0, 0.17932389607938876]"
16,"[29, 30, 4, 9, 31, 17, 5, 20, 7, 16, 0, 10, 13, 21, 23, 27, 14, 26, 15, 1]",20,"[0.28104091403153975, 0.0, 0.0, 0.0, 0.7942985314440842, 0.4887485754456036, 0.0, 0.3713892095398075, 0.0, 0.5892802610255901, 0.2110837114135431, 0.0, 0.0, 0.19845902163107054, 0.03816830884685346, 0.017109231424411717, 0.32929569842369655, 0.4988338863263717, 0.0, 0.0, 0.48733927544676503, 0.12836790036361473, 0.0, 0.11138613010714302, 0.0, 0.0, 0.03696364630895421, 0.07476603925947672, 0.0, 1.0, 1.0, 0.5]"
17,"[9, 27, 10, 23, 20, 0, 4, 6, 12, 28, 7, 19, 18, 1, 17, 14, 3, 5, 2, 8]",20,"[0.39869375055549977, 0.09594340449515212, 0.0, 0.0, 0.3965041206609682, 0.0, 0.38156268558222023, 0.23819010538192253, 0.0, 1.0, 0.9526960163865628, 0.0, 0.2856230767291447, 0.0, 0.02058701891532605, 0.0, 0.0, 0.044370644029902706, 0.10784357773777709, 0.22243899717892626, 0.7282447192254671, 0.0, 0.0, 0.8140057329865349, 0.0, 0.0, 0.0, 1.0, 0.24519977855636726, 0.0, 0.0, 0.0]"
18,"[14, 29, 6, 0, 22, 10, 1, 5, 13, 28, 30, 25, 18, 17, 19, 16, 3, 24, 20, 23]",20,"[0.5471439985554747, 0.4404456886392915, 0.0, 0.04389079203893291, 0.0, 0.3476384008780142, 0.8834142233179467, 0.0, 0.0, 0.0, 0.4451594160348791, 0.0, 0.0, 0.3377665784765625, 1.0, 0.0, 0.07266259650220874, 0.08492688616745125, 0.10635702724284637, 0.07710644674486061, 0.004650923773466542, 0.0, 0.49800379229870295, 0.00306627891558936, 0.03881409348760128, 0.1791908658445278, 0.0, 0.0, 0.22194540594091905, 0.8936650233615345, 0.20754878278504618, 0.0]"
19,"[0, 26, 7, 8, 19, 20, 12, 22, 30, 24, 23, 6, 4, 11, 14, 5, 31, 29, 10, 18]",20,"[1.0, 0.0, 0.0, 0.0, 0.2962436813200032, 0.21935307151394032, 0.3011089645792264, 1.0, 1.0, 0.0, 0.08008317145390909, 0.28540990692299295, 0.5, 0.0, 0.2350005676732132, 0.0, 0.0, 0.0, 0.07065557102316838, 1.0, 0.5, 0.0, 0.4495278852161083, 0.32419835276028514, 0.3691238250205314, 0.0, 1.0, 0.0, 0.0, 0.09971556107622562, 0.39847344636246457, 0.2027872643770261]"
20,"[0, 6, 11, 4, 8, 13, 16, 29, 3, 30, 31, 23, 2, 7, 19, 15, 26, 18, 12, 20]",20,"[1.0, 0.0, 0.24899133163866627, 0.353402726289225, 0.8519553979135827, 0.0, 1.0, 0.20707863632288928, 0.6741749880343664, 0.0, 0.04228182819531322, 1.0, 0.17135711754310018, 0.5357739479724016, 0.0, 0.2016315845951791, 0.5, 0.0, 0.18967788772463556, 0.20410851788273476, 0.1687912275182522, 0.018459430388896976, 0.0, 0.26483700854456504, 0.0, 0.0, 0.1915370007213179, 0.14663434949836074, 0.11500734124192036, 0.45685765468064077, 0.2969101715106987, 0.2949471928199724]"
